	SRR6924534	SRR6924535	SRR6924536	SRR6924547	SRR6924548	SRR6924549
gene:Bcin01g00010	8275	9775	8318	1954	845	820
gene:Bcin01g00020	2285	2951	1960	787	382	345
gene:Bcin01g00030	8254	10803	7030	2298	1008	1009
gene:Bcin01g00040	4392	5604	3690	1198	473	531
gene:Bcin01g00050	1909	2270	1728	274	131	147
gene:Bcin01g00060	13801	16429	10661	1792	983	877
gene:Bcin01g00070	5362	6295	4796	1534	928	839
gene:Bcin01g00080	3635	4719	3724	1137	406	486
gene:Bcin01g00090	18967	22449	14899	2614	1355	1092
gene:Bcin01g00100	2663	2994	2311	261	110	103
gene:Bcin01g00110	1914	2393	1474	267	108	109
gene:Bcin01g00120	2416	2587	1939	654	331	334
gene:Bcin01g00130	2651	3335	2481	1051	599	641
gene:Bcin01g00140	190	219	183	125	124	101
gene:Bcin01g00150	0	1	2	1	2	3
gene:Bcin01g00160	2574	3952	8465	688	762	562
gene:Bcin01g00170	4239	5149	3582	3231	4278	3961
gene:Bcin01g00180	58	84	85	71	54	39
gene:Bcin01g00190	417	513	365	318	264	236
gene:Bcin01g00200	255	350	228	249	218	192
gene:Bcin01g00210	521	554	666	1179	786	705
gene:Bcin01g00220	430	493	551	758	676	510
gene:Bcin01g00230	198	253	208	286	280	241
gene:Bcin01g00240	14	15	13	9	5	7
gene:ENSRNA049512445	0	0	0	0	0	0
gene:Bcin01g00250	9	2	4	13	22	13
gene:Bcin01g00260	47	107	34	118	108	90
gene:Bcin01g00270	329	364	302	315	273	224
gene:Bcin01g00280	798	957	606	651	560	410
gene:EFBcG00000013159	0	0	0	0	0	0
gene:ENSRNA049538829	0	0	0	0	0	0
gene:Bcin01g00290	25	31	19	47	50	45
gene:Bcin01g00300	1	4	9	7	6	5
gene:Bcin01g00310	8	3	7	3	6	5
gene:Bcin01g00320	0	0	0	0	0	0
gene:Bcin01g00330	1675	1884	1467	1236	1167	845
gene:Bcin01g00340	1438	1679	1727	1083	718	647
gene:Bcin01g00350	3113	3674	3124	8468	11197	9107
gene:Bcin01g00360	957	1100	1091	4032	4851	4466
gene:Bcin01g00370	5435	6744	4751	5855	4735	4333
gene:Bcin01g00380	351	381	238	146	180	140
gene:Bcin01g00390	666	716	536	277	360	216
gene:Bcin01g00400	7511	8221	7498	1214	859	741
gene:Bcin01g00410	769	822	778	527	465	365
gene:Bcin01g00420	2411	2533	1975	1130	2011	1015
gene:Bcin01g00430	598	842	507	1002	1153	569
gene:Bcin01g00440	1935	2683	1398	5234	6479	5671
gene:Bcin01g00450	4886	6519	3870	14073	16063	13355
gene:Bcin01g00460	788	960	764	440	295	293
gene:Bcin01g00470	1379	1520	1471	1681	1902	1335
gene:Bcin01g00480	560	582	572	613	562	348
gene:Bcin01g00490	255	275	235	322	208	218
gene:Bcin01g00500	167	191	155	388	404	275
gene:Bcin01g00510	1036	1249	968	1024	693	655
gene:Bcin01g00520	1412	1611	1373	1534	1259	1127
gene:Bcin01g00530	844	945	885	583	506	481
gene:Bcin01g00540	938	1079	756	634	468	464
gene:Bcin01g00550	2141	2452	1829	2579	2287	1887
gene:Bcin01g00560	357	376	309	263	199	193
gene:Bcin01g00570	265	252	208	237	182	148
gene:Bcin01g00580	15	8	8	56	27	31
gene:Bcin01g00590	76	69	77	66	79	50
gene:Bcin01g00600	1	2	0	5	0	2
gene:Bcin01g00610	258	252	174	158	166	124
gene:Bcin01g00620	120	145	100	67	74	51
gene:Bcin01g00630	1213	1058	1530	1096	777	641
gene:Bcin01g00640	221	235	140	798	457	220
gene:Bcin01g00650	302	285	241	411	214	188
gene:Bcin01g00660	2177	2397	1820	1106	1100	911
gene:Bcin01g00670	3896	4253	3494	4467	2988	2906
gene:Bcin01g00680	0	0	0	0	0	0
gene:Bcin01g00690	0	0	0	0	0	0
gene:Bcin01g00700	0	0	0	0	0	0
gene:Bcin01g00710	33	39	25	84	146	49
gene:Bcin01g00720	1457	1731	1170	1612	2138	1182
gene:Bcin01g00730	371	398	454	373	542	274
gene:Bcin01g00740	99	119	144	117	192	101
gene:Bcin01g00750	1579	1869	1664	1670	1552	1384
