From	Entry	Entry.Name	Reviewed	Protein.names	Gene.Names	Organism	Length
Bcin01p01570.1	A0A384J4D4	A0A384J4D4_BOTFB	unreviewed	Uncharacterized protein	BCIN_01g01570	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	345
Bcin10p03770.1	A0A384JUU9	A0A384JUU9_BOTFB	unreviewed	Uncharacterized protein	BCIN_10g03770	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	452
Bcin10p04070.1	A0A384JV54	A0A384JV54_BOTFB	unreviewed	Uncharacterized protein	BCIN_10g04070	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	291
Bcin10p05100.1	A0A384JVF9	A0A384JVF9_BOTFB	unreviewed	Uncharacterized protein	BCIN_10g05100	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	781
Bcin11p00550.1	A0A384JVX6	A0A384JVX6_BOTFB	unreviewed	Uncharacterized protein	BCIN_11g00550	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	334
Bcin11p06000.2	A0A384JYK1	A0A384JYK1_BOTFB	unreviewed	Uncharacterized protein	BCIN_11g06000	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	351
Bcin11p06000.1	A0A384JXJ9	A0A384JXJ9_BOTFB	unreviewed	Uncharacterized protein	BCIN_11g06000	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	324
Bcin12p03440.1	A0A384JYZ1	A0A384JYZ1_BOTFB	unreviewed	Uncharacterized protein	BCIN_12g03440	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	136
Bcin14p00490.2	A0A384K2Q0	A0A384K2Q0_BOTFB	unreviewed	Uncharacterized protein	BCIN_14g00490	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	121
Bcin14p02960.1	A0A384K3B3	A0A384K3B3_BOTFB	unreviewed	Uncharacterized protein	BCIN_14g02960	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	283
Bcin15p04350.3	A0A384K524	A0A384K524_BOTFB	unreviewed	Uncharacterized protein	BCIN_15g04350	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	512
Bcin15p04350.1	A0A384K524	A0A384K524_BOTFB	unreviewed	Uncharacterized protein	BCIN_15g04350	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	512
Bcin15p04350.2	A0A384K524	A0A384K524_BOTFB	unreviewed	Uncharacterized protein	BCIN_15g04350	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	512
Bcin16p01490.1	A0A384K681	A0A384K681_BOTFB	unreviewed	Uncharacterized protein	BCIN_16g01490	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	531
Bcin02p06690.1	A0A384JA66	A0A384JA66_BOTFB	unreviewed	Uncharacterized protein	BCIN_02g06690	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	539
Bcin04p03230.1	A0A384JEW2	A0A384JEW2_BOTFB	unreviewed	Uncharacterized protein	BCIN_04g03230	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	262
Bcin05p06650.1	A0A384JIR9	A0A384JIR9_BOTFB	unreviewed	Uncharacterized protein	BCIN_05g06650	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	343
Bcin05p06820.1	A0A384JIP0	A0A384JIP0_BOTFB	unreviewed	Uncharacterized protein	BCIN_05g06820	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	263
Bcin06p00640.1	A0A384JJJ6	A0A384JJJ6_BOTFB	unreviewed	Uncharacterized protein	BCIN_06g00640	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	497
Bcin07p00250.1	A0A384JLL3	A0A384JLL3_BOTFB	unreviewed	Uncharacterized protein	BCIN_07g00250	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	270
